step,epoch,val_loss,train_loss
99,0,13.446036338806152,
99,0,,11.869195938110352
199,1,13.097151756286621,
199,1,,11.722204208374023
299,2,13.656103134155273,
299,2,,11.655357360839844
399,3,14.928865432739258,
399,3,,11.550436019897461
499,4,13.51952075958252,
499,4,,11.400028228759766
599,5,13.41217041015625,
599,5,,11.443032264709473
699,6,12.17857837677002,
699,6,,11.316089630126953
799,7,12.304852485656738,
799,7,,11.295711517333984
899,8,11.948558807373047,
899,8,,11.268342018127441
999,9,11.927303314208984,
999,9,,11.299355506896973
1099,10,11.939657211303711,
1099,10,,11.298648834228516
1199,11,11.906494140625,
1199,11,,11.310135841369629
1299,12,11.917552947998047,
1299,12,,11.288832664489746
1399,13,11.828228950500488,
1399,13,,11.265900611877441
1499,14,11.96387767791748,
1499,14,,11.293127059936523
1599,15,11.922189712524414,
1599,15,,11.408120155334473
1699,16,11.800141334533691,
1699,16,,11.332237243652344
1799,17,11.913403511047363,
1799,17,,11.334547996520996
1899,18,12.051353454589844,
1899,18,,11.345793724060059
1999,19,11.82513427734375,
1999,19,,11.26477336883545
2099,20,12.071210861206055,
2099,20,,11.319009780883789
2199,21,11.866556167602539,
2199,21,,11.314563751220703
