step,val_loss,epoch,train_loss
99,14.82762622833252,0,
99,,0,11.814652442932129
199,14.930025100708008,1,
199,,1,11.640416145324707
299,15.120416641235352,2,
299,,2,11.542862892150879
399,14.3184814453125,3,
399,,3,11.399062156677246
499,14.717761039733887,4,
499,,4,11.3531494140625
599,14.017337799072266,5,
599,,5,11.393811225891113
699,14.171630859375,6,
699,,6,11.265826225280762
799,14.243077278137207,7,
799,,7,11.288568496704102
899,13.952733039855957,8,
899,,8,11.277562141418457
999,13.89659595489502,9,
999,,9,11.276124000549316
1099,14.35377311706543,10,
1099,,10,11.271897315979004
1199,14.32529067993164,11,
1199,,11,11.25130844116211
1299,13.930868148803711,12,
1299,,12,11.306344032287598
1399,13.889408111572266,13,
1399,,13,11.289886474609375
1499,13.727889060974121,14,
1499,,14,11.289833068847656
1599,13.400506019592285,15,
1599,,15,11.285894393920898
1699,13.504443168640137,16,
1699,,16,11.277682304382324
1799,13.147785186767578,17,
1799,,17,11.264408111572266
1899,13.387726783752441,18,
1899,,18,11.29530143737793
1999,13.866401672363281,19,
1999,,19,11.270359992980957
2099,13.46984577178955,20,
2099,,20,11.326231956481934
2199,14.037934303283691,21,
2199,,21,11.315638542175293
2299,14.037450790405273,22,
2299,,22,11.39775276184082
