val_loss,step,epoch,train_loss
14.242532730102539,99,0,
,99,0,11.824507713317871
14.559574127197266,199,1,
,199,1,11.63528060913086
13.803771018981934,299,2,
,299,2,11.390303611755371
13.880820274353027,399,3,
,399,3,11.293658256530762
13.521227836608887,499,4,
,499,4,11.283822059631348
13.321855545043945,599,5,
,599,5,11.353462219238281
13.87243366241455,699,6,
,699,6,11.310754776000977
13.12963581085205,799,7,
,799,7,11.287911415100098
13.089814186096191,899,8,
,899,8,11.38513469696045
13.026055335998535,999,9,
,999,9,11.296525955200195
13.546953201293945,1099,10,
,1099,10,11.274685859680176
13.486572265625,1199,11,
,1199,11,11.269850730895996
13.065995216369629,1299,12,
,1299,12,11.276042938232422
13.177433967590332,1399,13,
,1399,13,11.256200790405273
13.302181243896484,1499,14,
,1499,14,11.267391204833984
