val_loss,step,epoch,train_loss
14.66538143157959,99,0,
,99,0,11.938549995422363
14.942317008972168,199,1,
,199,1,11.698563575744629
15.463483810424805,299,2,
,299,2,11.437081336975098
14.987961769104004,399,3,
,399,3,11.304532051086426
14.323219299316406,499,4,
,499,4,11.337884902954102
14.124079704284668,599,5,
,599,5,11.301358222961426
14.11747932434082,699,6,
,699,6,11.292045593261719
13.867870330810547,799,7,
,799,7,11.263714790344238
13.49683952331543,899,8,
,899,8,11.33296012878418
14.048925399780273,999,9,
,999,9,11.338022232055664
14.237751007080078,1099,10,
,1099,10,11.40112018585205
13.906048774719238,1199,11,
,1199,11,11.342316627502441
14.633401870727539,1299,12,
,1299,12,11.3165922164917
14.88949966430664,1399,13,
,1399,13,11.317970275878906
