val_loss,step,epoch,train_loss
14.539084434509277,99,0,
,99,0,11.839329719543457
14.626273155212402,199,1,
,199,1,11.430706024169922
14.169648170471191,299,2,
,299,2,11.392308235168457
14.225476264953613,399,3,
,399,3,11.310376167297363
14.425539016723633,499,4,
,499,4,11.326305389404297
13.927475929260254,599,5,
,599,5,11.327309608459473
14.655708312988281,699,6,
,699,6,11.236994743347168
14.16495418548584,799,7,
,799,7,11.357392311096191
14.418790817260742,899,8,
,899,8,11.339244842529297
14.719491958618164,999,9,
,999,9,11.337655067443848
14.622130393981934,1099,10,
,1099,10,11.332100868225098
