epoch,step,val_loss,train_loss
0,99,13.42273235321045,
0,99,,11.05770492553711
1,199,14.076786041259766,
1,199,,10.338639259338379
2,299,13.544269561767578,
2,299,,10.289926528930664
3,399,12.863568305969238,
3,399,,10.260132789611816
4,499,12.574811935424805,
4,499,,10.934347152709961
5,599,12.878310203552246,
5,599,,10.457635879516602
6,699,13.036513328552246,
6,699,,10.271520614624023
7,799,12.821598052978516,
7,799,,10.231904029846191
8,899,12.015458106994629,
8,899,,10.20505142211914
9,999,12.791305541992188,
9,999,,10.170992851257324
10,1099,12.217161178588867,
10,1099,,10.162841796875
11,1199,12.1282958984375,
11,1199,,10.149858474731445
12,1299,12.329565048217773,
12,1299,,10.130046844482422
13,1399,12.109174728393555,
13,1399,,10.123027801513672
