epoch,step,val_loss,train_loss
0,19,12.215456008911133,
0,19,,12.185420036315918
1,39,12.358965873718262,
1,39,,11.245325088500977
2,59,13.449377059936523,
2,59,,10.836189270019531
3,79,13.382512092590332,
3,79,,10.99482536315918
4,99,12.932100296020508,
4,99,,10.752394676208496
5,119,13.03669548034668,
5,119,,10.429632186889648
6,139,13.152544975280762,
6,139,,10.349761009216309
7,159,13.19062614440918,
7,159,,10.332613945007324
8,179,12.997408866882324,
8,179,,10.32264518737793
9,199,13.106661796569824,
9,199,,10.311574935913086
10,219,12.767483711242676,
10,219,,10.302215576171875
