step,epoch,val_loss,train_loss
99,0,14.715108871459961,
99,0,,11.785561561584473
199,1,14.498223304748535,
199,1,,11.504654884338379
299,2,14.769444465637207,
299,2,,11.587004661560059
399,3,14.583101272583008,
399,3,,11.5152006149292
499,4,14.84744644165039,
499,4,,11.507320404052734
599,5,14.258234024047852,
599,5,,11.509177207946777
699,6,14.129783630371094,
699,6,,11.542326927185059
799,7,14.320207595825195,
799,7,,11.549200057983398
899,8,14.665131568908691,
899,8,,11.49120807647705
999,9,14.212823867797852,
999,9,,11.506086349487305
1099,10,13.76331901550293,
1099,10,,11.543129920959473
1199,11,14.423333168029785,
1199,11,,11.525142669677734
1299,12,14.240131378173828,
1299,12,,11.505545616149902
1399,13,14.225553512573242,
1399,13,,11.519582748413086
1499,14,13.389740943908691,
1499,14,,11.569716453552246
1599,15,14.244115829467773,
1599,15,,11.652427673339844
1699,16,13.819514274597168,
1699,16,,11.5176362991333
1799,17,13.736968994140625,
1799,17,,11.519915580749512
1899,18,14.015617370605469,
1899,18,,11.504317283630371
1999,19,13.717467308044434,
1999,19,,11.526544570922852
