val_loss,epoch,step,train_loss
13.795323371887207,0,99,
,0,99,11.488168716430664
13.59405517578125,1,199,
,1,199,11.017587661743164
13.262188911437988,2,299,
,2,299,10.975092887878418
13.264266967773438,3,399,
,3,399,10.894214630126953
13.228610038757324,4,499,
,4,499,10.875412940979004
13.243569374084473,5,599,
,5,599,10.837066650390625
13.317106246948242,6,699,
,6,699,10.816022872924805
13.477493286132812,7,799,
,7,799,10.766454696655273
13.241877555847168,8,899,
,8,899,10.861811637878418
13.451403617858887,9,999,
,9,999,10.67501449584961
