val_loss,step,epoch,train_loss
14.66538143157959,99,0,
,99,0,11.938549995422363
14.941689491271973,199,1,
,199,1,11.698561668395996
15.927486419677734,299,2,
,299,2,11.510544776916504
14.784600257873535,399,3,
,399,3,11.29803466796875
14.324777603149414,499,4,
,499,4,11.314175605773926
13.93840503692627,599,5,
,599,5,11.316106796264648
14.258407592773438,699,6,
,699,6,11.346400260925293
14.374885559082031,799,7,
,799,7,11.270469665527344
14.665782928466797,899,8,
,899,8,11.277719497680664
15.208727836608887,999,9,
,999,9,11.319629669189453
13.442832946777344,1099,10,
,1099,10,11.341251373291016
14.487259864807129,1199,11,
,1199,11,11.356666564941406
14.280186653137207,1299,12,
,1299,12,11.303959846496582
14.76076602935791,1399,13,
,1399,13,11.31139850616455
13.65459156036377,1499,14,
,1499,14,11.340191841125488
13.622611999511719,1599,15,
,1599,15,11.341144561767578
