step,val_loss,epoch,train_loss
99,14.411506652832031,0,
99,,0,11.93796157836914
199,14.650814056396484,1,
199,,1,11.630012512207031
299,14.048477172851562,2,
299,,2,11.475646018981934
399,14.096569061279297,3,
399,,3,11.33015251159668
499,14.047545433044434,4,
499,,4,11.377049446105957
599,13.574897766113281,5,
599,,5,11.318014144897461
699,13.656675338745117,6,
699,,6,11.361865997314453
799,14.025071144104004,7,
799,,7,11.335699081420898
899,14.087968826293945,8,
899,,8,11.262173652648926
999,13.441008567810059,9,
999,,9,11.315909385681152
1099,13.280576705932617,10,
1099,,10,11.319319725036621
1199,13.073822021484375,11,
1199,,11,11.32084846496582
1299,12.842649459838867,12,
1299,,12,11.307124137878418
1399,13.808632850646973,13,
1399,,13,11.326750755310059
1499,13.78665542602539,14,
1499,,14,11.309979438781738
1599,14.44106674194336,15,
1599,,15,11.344586372375488
1699,13.966196060180664,16,
1699,,16,11.3024320602417
1799,13.235754013061523,17,
1799,,17,11.320159912109375
