epoch,step,val_loss,train_loss
0,99,12.773504257202148,
0,99,,11.078740119934082
1,199,13.567543983459473,
1,199,,10.3831787109375
2,299,13.925951957702637,
2,299,,10.278629302978516
3,399,13.813494682312012,
3,399,,10.277532577514648
4,499,13.765665054321289,
4,499,,10.222386360168457
5,599,12.679268836975098,
5,599,,10.491368293762207
6,699,12.635251998901367,
6,699,,10.35037612915039
7,799,12.461666107177734,
7,799,,10.341767311096191
8,899,12.806090354919434,
8,899,,10.332585334777832
9,999,12.227872848510742,
9,999,,10.322107315063477
10,1099,12.414822578430176,
10,1099,,10.314417839050293
11,1199,12.40990924835205,
11,1199,,10.33719253540039
12,1299,13.00400447845459,
12,1299,,10.388248443603516
13,1399,12.764725685119629,
13,1399,,10.326118469238281
14,1499,13.25327205657959,
14,1499,,10.325013160705566
