epoch,step,val_loss,train_loss
0,99,13.8026704788208,
0,99,,11.970983505249023
1,199,14.167495727539062,
1,199,,11.700017929077148
2,299,14.875149726867676,
2,299,,11.579943656921387
3,399,14.787199974060059,
3,399,,11.405693054199219
4,499,14.947184562683105,
4,499,,11.386290550231934
5,599,13.56186580657959,
5,599,,11.453128814697266
6,699,14.150188446044922,
6,699,,11.418902397155762
7,799,13.112939834594727,
7,799,,11.333308219909668
8,899,13.384166717529297,
8,899,,11.393871307373047
9,999,12.677752494812012,
9,999,,11.398235321044922
10,1099,13.2061128616333,
10,1099,,11.353812217712402
11,1199,13.344511985778809,
11,1199,,11.326391220092773
12,1299,13.129454612731934,
12,1299,,11.340577125549316
13,1399,12.235787391662598,
13,1399,,11.350765228271484
14,1499,12.036829948425293,
14,1499,,11.303165435791016
15,1599,12.276545524597168,
15,1599,,11.324420928955078
16,1699,12.737020492553711,
16,1699,,11.32004165649414
17,1799,12.195660591125488,
17,1799,,11.309523582458496
18,1899,11.982961654663086,
18,1899,,11.306583404541016
19,1999,12.356122970581055,
19,1999,,11.309356689453125
20,2099,12.049159049987793,
20,2099,,11.324156761169434
21,2199,11.980901718139648,
21,2199,,11.310599327087402
22,2299,12.45382308959961,
22,2299,,11.403827667236328
23,2399,12.484835624694824,
23,2399,,11.371882438659668
24,2499,11.959043502807617,
24,2499,,11.294764518737793
25,2599,11.908086776733398,
25,2599,,11.320147514343262
26,2699,12.058213233947754,
26,2699,,11.356476783752441
27,2799,12.209826469421387,
27,2799,,11.350566864013672
28,2899,11.940702438354492,
28,2899,,11.364611625671387
29,2999,11.894662857055664,
29,2999,,11.326277732849121
30,3099,12.055876731872559,
30,3099,,11.338188171386719
31,3199,12.137213706970215,
31,3199,,11.342187881469727
32,3299,12.157517433166504,
32,3299,,11.34646987915039
33,3399,12.457383155822754,
33,3399,,11.388165473937988
34,3499,12.010374069213867,
34,3499,,11.367237091064453
