step,val_loss,epoch,train_loss
99,13.446036338806152,0,
99,,0,11.869195938110352
199,13.097151756286621,1,
199,,1,11.722204208374023
299,14.195109367370605,2,
299,,2,11.634612083435059
399,14.341612815856934,3,
399,,3,11.58026123046875
499,12.8624267578125,4,
499,,4,11.355871200561523
599,13.97036075592041,5,
599,,5,11.3297700881958
699,13.328328132629395,6,
699,,6,11.380433082580566
799,12.798544883728027,7,
799,,7,11.3250093460083
899,12.284900665283203,8,
899,,8,11.322348594665527
999,13.57668399810791,9,
999,,9,11.31600570678711
1099,12.366551399230957,10,
1099,,10,11.32669448852539
1199,12.659335136413574,11,
1199,,11,11.32364273071289
1299,11.96134090423584,12,
1299,,12,11.337002754211426
1399,11.898492813110352,13,
1399,,13,11.33782958984375
1499,11.921000480651855,14,
1499,,14,11.321371078491211
1599,12.120784759521484,15,
1599,,15,11.318743705749512
1699,11.921941757202148,16,
1699,,16,11.362750053405762
1799,12.111886024475098,17,
1799,,17,11.340792655944824
1899,12.070170402526855,18,
1899,,18,11.408771514892578
