val_loss,epoch,step,train_loss
14.691097259521484,0,99,
,0,99,11.815115928649902
14.143355369567871,1,199,
,1,199,11.595819473266602
14.417426109313965,2,299,
,2,299,11.683282852172852
14.321215629577637,3,399,
,3,399,11.594082832336426
13.782913208007812,4,499,
,4,499,11.615796089172363
14.45578384399414,5,599,
,5,599,11.649295806884766
13.928332328796387,6,699,
,6,699,11.550849914550781
14.122333526611328,7,799,
,7,799,11.534977912902832
14.581976890563965,8,899,
,8,899,11.658658027648926
13.91018009185791,9,999,
,9,999,11.610822677612305
