step,val_loss,epoch,train_loss
99,13.885982513427734,0,
99,,0,11.918723106384277
199,14.469366073608398,1,
199,,1,11.655675888061523
299,14.036850929260254,2,
299,,2,11.401287078857422
399,14.152985572814941,3,
399,,3,11.356605529785156
499,13.575937271118164,4,
499,,4,11.284337997436523
599,13.288714408874512,5,
599,,5,11.332541465759277
699,13.112237930297852,6,
699,,6,11.323983192443848
799,13.574357986450195,7,
799,,7,11.283546447753906
899,13.0964937210083,8,
899,,8,11.323175430297852
999,13.304473876953125,9,
999,,9,11.310345649719238
1099,13.119874954223633,10,
1099,,10,11.28176498413086
1199,13.452699661254883,11,
1199,,11,11.360940933227539
1299,13.30355453491211,12,
1299,,12,11.264321327209473
1399,13.172744750976562,13,
1399,,13,11.281660079956055
