step,val_loss,epoch,train_loss
99,13.885982513427734,0,
99,,0,11.918723106384277
199,14.469366073608398,1,
199,,1,11.655675888061523
299,14.036710739135742,2,
299,,2,11.401285171508789
399,13.413036346435547,3,
399,,3,11.347675323486328
499,13.433511734008789,4,
499,,4,11.30009651184082
599,13.911262512207031,5,
599,,5,11.359256744384766
699,14.078862190246582,6,
699,,6,11.36577033996582
799,13.275890350341797,7,
799,,7,11.308711051940918
899,13.859375953674316,8,
899,,8,11.34728717803955
999,13.313614845275879,9,
999,,9,11.327400207519531
1099,13.880147933959961,10,
1099,,10,11.295719146728516
1199,13.82002067565918,11,
1199,,11,11.2756986618042
1299,13.814929008483887,12,
1299,,12,11.26452350616455
