step,epoch,val_loss,train_loss
99,0,14.393292427062988,
99,0,,11.993770599365234
199,1,14.759224891662598,
199,1,,11.604369163513184
299,2,14.689943313598633,
299,2,,11.362081527709961
399,3,14.337370872497559,
399,3,,11.292574882507324
499,4,13.382535934448242,
499,4,,11.308627128601074
599,5,13.631002426147461,
599,5,,11.29791259765625
699,6,13.317229270935059,
699,6,,11.250009536743164
799,7,13.170807838439941,
799,7,,11.278083801269531
899,8,14.062150955200195,
899,8,,11.258316993713379
999,9,13.198153495788574,
999,9,,11.285351753234863
1099,10,13.220026969909668,
1099,10,,11.249258995056152
1199,11,13.547465324401855,
1199,11,,11.263879776000977
1299,12,13.097941398620605,
1299,12,,11.322101593017578
1399,13,13.354287147521973,
1399,13,,11.26947021484375
1499,14,13.503079414367676,
1499,14,,11.257285118103027
1599,15,13.735440254211426,
1599,15,,11.253217697143555
1699,16,13.721494674682617,
1699,16,,11.283893585205078
1799,17,12.833723068237305,
1799,17,,11.303722381591797
1899,18,13.843148231506348,
1899,18,,11.281228065490723
1999,19,13.23276424407959,
1999,19,,11.234356880187988
2099,20,13.182446479797363,
2099,20,,11.227270126342773
2199,21,13.402216911315918,
2199,21,,11.242509841918945
2299,22,12.879698753356934,
2299,22,,11.246599197387695
