val_loss,epoch,step,train_loss
14.628148078918457,0,99,
,0,99,11.876728057861328
14.267040252685547,1,199,
,1,199,11.55169677734375
13.629053115844727,2,299,
,2,299,11.376230239868164
13.285632133483887,3,399,
,3,399,11.275005340576172
13.019432067871094,4,499,
,4,499,11.324621200561523
12.79991626739502,5,599,
,5,599,11.346528053283691
12.385016441345215,6,699,
,6,699,11.349947929382324
12.917291641235352,7,799,
,7,799,11.340250015258789
13.45086669921875,8,899,
,8,899,11.299482345581055
12.154650688171387,9,999,
,9,999,11.352368354797363
12.525762557983398,10,1099,
,10,1099,11.350037574768066
12.890989303588867,11,1199,
,11,1199,11.379449844360352
12.24382495880127,12,1299,
,12,1299,11.280340194702148
12.218822479248047,13,1399,
,13,1399,11.349187850952148
12.6829195022583,14,1499,
,14,1499,11.334577560424805
