epoch,step,val_loss,train_loss
0,99,14.452670097351074,
0,99,,11.888579368591309
1,199,15.467317581176758,
1,199,,11.510112762451172
2,299,14.769184112548828,
2,299,,11.331582069396973
3,399,14.896300315856934,
3,399,,11.273268699645996
4,499,13.950957298278809,
4,499,,11.271462440490723
5,599,13.865171432495117,
5,599,,11.263587951660156
6,699,14.10510540008545,
6,699,,11.320895195007324
7,799,13.77034854888916,
7,799,,11.332139015197754
8,899,13.965749740600586,
8,899,,11.284058570861816
9,999,13.938872337341309,
9,999,,11.301462173461914
10,1099,13.205294609069824,
10,1099,,11.294133186340332
11,1199,14.0670747756958,
11,1199,,11.294515609741211
12,1299,13.835363388061523,
12,1299,,11.220611572265625
13,1399,13.57988166809082,
13,1399,,11.28199577331543
14,1499,14.309401512145996,
14,1499,,11.294095039367676
15,1599,13.430604934692383,
15,1599,,11.275167465209961
