step,epoch,val_loss,train_loss
99,0,13.8026704788208,
99,0,,11.970983505249023
199,1,14.167495727539062,
199,1,,11.700017929077148
299,2,14.875149726867676,
299,2,,11.579943656921387
399,3,14.787322044372559,
399,3,,11.405693054199219
499,4,13.878643989562988,
499,4,,11.312640190124512
599,5,13.580717086791992,
599,5,,11.366556167602539
699,6,14.030220031738281,
699,6,,11.372653007507324
799,7,12.889427185058594,
799,7,,11.365325927734375
899,8,14.917760848999023,
899,8,,11.299979209899902
999,9,13.00917911529541,
999,9,,11.327611923217773
1099,10,13.547612190246582,
1099,10,,11.300858497619629
1199,11,13.366785049438477,
1199,11,,11.356921195983887
1299,12,12.473543167114258,
1299,12,,11.3087739944458
1399,13,12.615848541259766,
1399,13,,11.287023544311523
1499,14,12.433085441589355,
1499,14,,11.321009635925293
1599,15,12.668153762817383,
1599,15,,11.336705207824707
1699,16,12.194672584533691,
1699,16,,11.329107284545898
1799,17,11.94183349609375,
1799,17,,11.336215019226074
1899,18,11.92232894897461,
1899,18,,11.331490516662598
1999,19,12.099662780761719,
1999,19,,11.281864166259766
2099,20,11.966755867004395,
2099,20,,11.31729507446289
2199,21,11.941650390625,
2199,21,,11.328144073486328
2299,22,12.173083305358887,
2299,22,,11.32191276550293
2399,23,11.860624313354492,
2399,23,,11.348735809326172
2499,24,11.905723571777344,
2499,24,,11.352507591247559
2599,25,11.939834594726562,
2599,25,,11.30602741241455
2699,26,11.888191223144531,
2699,26,,11.305425643920898
2799,27,12.36658000946045,
2799,27,,11.33499526977539
2899,28,11.919107437133789,
2899,28,,11.379616737365723
