step,val_loss,epoch,train_loss
99,13.31435775756836,0,
99,,0,11.879180908203125
199,13.36829948425293,1,
199,,1,11.73765754699707
299,13.561689376831055,2,
299,,2,11.715243339538574
399,14.127988815307617,3,
399,,3,11.715068817138672
499,14.27604866027832,4,
499,,4,11.696560859680176
599,13.204771041870117,5,
599,,5,11.478049278259277
699,12.77587604522705,6,
699,,6,11.370161056518555
799,12.83871841430664,7,
799,,7,11.356667518615723
899,12.568531036376953,8,
899,,8,11.348843574523926
999,12.642800331115723,9,
999,,9,11.315637588500977
1099,12.903876304626465,10,
1099,,10,11.356346130371094
1199,12.820755004882812,11,
1199,,11,11.352558135986328
1299,12.851298332214355,12,
1299,,12,11.389632225036621
1399,13.143321990966797,13,
1399,,13,11.324324607849121
