val_loss,step,epoch,train_loss
14.740843772888184,99,0,
,99,0,11.947152137756348
15.213866233825684,199,1,
,199,1,11.592241287231445
15.446359634399414,299,2,
,299,2,11.4552583694458
14.572519302368164,399,3,
,399,3,11.33237075805664
14.738570213317871,499,4,
,499,4,11.321566581726074
14.835688591003418,599,5,
,599,5,11.308974266052246
14.58869743347168,699,6,
,699,6,11.329852104187012
14.96157455444336,799,7,
,799,7,11.324426651000977
13.965288162231445,899,8,
,899,8,11.424530029296875
15.412825584411621,999,9,
,999,9,11.388708114624023
14.935956954956055,1099,10,
,1099,10,11.337672233581543
14.976503372192383,1199,11,
,1199,11,11.311675071716309
14.273130416870117,1299,12,
,1299,12,11.324585914611816
14.42184066772461,1399,13,
,1399,13,11.317069053649902
,99,0,11.961587905883789
,199,1,11.719998359680176
