val_loss,epoch,step,train_loss
13.918730735778809,0,99,
,0,99,11.381612777709961
13.62679672241211,1,199,
,1,199,10.973660469055176
13.732638359069824,2,299,
,2,299,10.813854217529297
13.251410484313965,3,399,
,3,399,10.73442268371582
14.188067436218262,4,499,
,4,499,10.776705741882324
13.274088859558105,5,599,
,5,599,10.671957969665527
13.099998474121094,6,699,
,6,699,10.70057487487793
13.142182350158691,7,799,
,7,799,10.634374618530273
12.99599838256836,8,899,
,8,899,10.617498397827148
13.1441011428833,9,999,
,9,999,10.60799789428711
13.177788734436035,10,1099,
,10,1099,10.594330787658691
12.987432479858398,11,1199,
,11,1199,10.596278190612793
13.044672966003418,12,1299,
,12,1299,10.581146240234375
13.153496742248535,13,1399,
,13,1399,10.571002960205078
13.026433944702148,14,1499,
,14,1499,10.571541786193848
12.531696319580078,15,1599,
,15,1599,10.561572074890137
12.75974178314209,16,1699,
,16,1699,10.559021949768066
12.60096549987793,17,1799,
,17,1799,10.49914836883545
12.845566749572754,18,1899,
,18,1899,10.518158912658691
12.796539306640625,19,1999,
,19,1999,10.432761192321777
12.719575881958008,20,2099,
,20,2099,10.407489776611328
