step,epoch,val_loss,train_loss
99,0,14.887566566467285,
99,0,,11.887104034423828
199,1,15.019339561462402,
199,1,,11.559168815612793
299,2,14.82028865814209,
299,2,,11.398632049560547
399,3,14.426630020141602,
399,3,,11.268426895141602
499,4,14.183904647827148,
499,4,,11.313009262084961
599,5,14.254194259643555,
599,5,,11.307110786437988
699,6,13.585281372070312,
699,6,,11.302861213684082
799,7,13.70947265625,
799,7,,11.232129096984863
899,8,14.321457862854004,
899,8,,11.268712043762207
999,9,14.720087051391602,
999,9,,11.309966087341309
1099,10,13.647927284240723,
1099,10,,11.235121726989746
1199,11,13.662762641906738,
1199,11,,11.25855827331543
