val_loss,epoch,step,train_loss
12.363448143005371,0,99,
,0,99,11.70050048828125
12.196097373962402,1,199,
,1,199,11.277658462524414
11.948677062988281,2,299,
,2,299,11.120891571044922
11.933209419250488,3,399,
,3,399,11.057547569274902
11.746124267578125,4,499,
,4,499,10.982769966125488
11.683906555175781,5,599,
,5,599,10.934106826782227
12.077775955200195,6,699,
,6,699,10.92874526977539
12.153919219970703,7,799,
,7,799,10.89959716796875
12.031085014343262,8,899,
,8,899,10.901162147521973
12.373361587524414,9,999,
,9,999,10.99871826171875
12.724605560302734,10,1099,
,10,1099,10.893050193786621
