epoch,step,val_loss,train_loss
0,99,14.871536254882812,
0,99,,11.855130195617676
1,199,14.991560935974121,
1,199,,11.44101333618164
2,299,15.133245468139648,
2,299,,11.281795501708984
3,399,14.211694717407227,
3,399,,11.283342361450195
4,499,14.461791038513184,
4,499,,11.277671813964844
5,599,14.823893547058105,
5,599,,11.382759094238281
6,699,13.988810539245605,
6,699,,11.385520935058594
7,799,14.579215049743652,
7,799,,11.309314727783203
8,899,13.680026054382324,
8,899,,11.305682182312012
9,999,14.09572696685791,
9,999,,11.291276931762695
10,1099,13.607030868530273,
10,1099,,11.271611213684082
11,1199,13.1337251663208,
11,1199,,11.400494575500488
12,1299,14.22292709350586,
12,1299,,11.324440002441406
13,1399,13.516271591186523,
13,1399,,11.266767501831055
14,1499,13.67822265625,
14,1499,,11.339412689208984
15,1599,13.71561050415039,
15,1599,,11.307005882263184
16,1699,13.447883605957031,
16,1699,,11.284836769104004
