val_loss,epoch,step,train_loss
14.797078132629395,0,99,
,0,99,11.822134971618652
15.102619171142578,1,199,
,1,199,11.525557518005371
14.68510913848877,2,299,
,2,299,11.36981201171875
14.699511528015137,3,399,
,3,399,11.410552978515625
13.846016883850098,4,499,
,4,499,11.337596893310547
14.42834186553955,5,599,
,5,599,11.341129302978516
14.308435440063477,6,699,
,6,699,11.287008285522461
14.253697395324707,7,799,
,7,799,11.27690315246582
14.073332786560059,8,899,
,8,899,11.355788230895996
14.464823722839355,9,999,
,9,999,11.258366584777832
