step,val_loss,epoch,train_loss
99,14.093049049377441,0,
99,,0,11.893835067749023
199,14.686443328857422,1,
199,,1,11.606734275817871
299,13.825403213500977,2,
299,,2,11.348278999328613
399,13.731451034545898,3,
399,,3,11.260412216186523
499,13.641302108764648,4,
499,,4,11.279559135437012
599,13.905867576599121,5,
599,,5,11.322309494018555
699,13.335707664489746,6,
699,,6,11.307873725891113
799,14.06981372833252,7,
799,,7,11.335628509521484
899,13.842110633850098,8,
899,,8,11.273199081420898
999,13.292684555053711,9,
999,,9,11.275544166564941
1099,13.618475914001465,10,
1099,,10,11.240238189697266
1199,13.058802604675293,11,
1199,,11,11.272448539733887
1299,13.331294059753418,12,
1299,,12,11.28061294555664
1399,13.18197250366211,13,
1399,,13,11.268502235412598
1499,13.418180465698242,14,
1499,,14,11.279768943786621
1599,13.838151931762695,15,
1599,,15,11.285451889038086
1699,13.071413040161133,16,
1699,,16,11.282390594482422
