epoch,step,val_loss,train_loss
0,99,14.628148078918457,
0,99,,11.876728057861328
1,199,14.267040252685547,
1,199,,11.55169677734375
2,299,13.629053115844727,
2,299,,11.376230239868164
3,399,13.362369537353516,
3,399,,11.29001235961914
4,499,13.498266220092773,
4,499,,11.310097694396973
5,599,12.471111297607422,
5,599,,11.2948637008667
6,699,13.22372055053711,
6,699,,11.341363906860352
7,799,12.91445255279541,
7,799,,11.364295959472656
8,899,13.506575584411621,
8,899,,11.337647438049316
9,999,12.331968307495117,
9,999,,11.25117301940918
10,1099,13.116413116455078,
10,1099,,11.296701431274414
11,1199,12.815391540527344,
11,1199,,11.2733793258667
12,1299,13.085649490356445,
12,1299,,11.270236015319824
13,1399,12.75456714630127,
13,1399,,11.276673316955566
14,1499,12.918814659118652,
14,1499,,11.260700225830078
