epoch,step,val_loss,train_loss
0,99,13.8026704788208,
0,99,,11.970983505249023
1,199,14.167495727539062,
1,199,,11.700017929077148
2,299,14.664727210998535,
2,299,,11.57812786102295
3,399,14.634371757507324,
3,399,,11.398942947387695
4,499,14.200523376464844,
4,499,,11.418194770812988
5,599,13.279635429382324,
5,599,,11.39941692352295
6,699,12.31793212890625,
6,699,,11.349286079406738
7,799,12.409836769104004,
7,799,,11.316959381103516
8,899,12.883699417114258,
8,899,,11.346700668334961
9,999,12.385049819946289,
9,999,,11.348006248474121
10,1099,12.924821853637695,
10,1099,,11.293187141418457
11,1199,12.248918533325195,
11,1199,,11.311136245727539
12,1299,11.957796096801758,
12,1299,,11.35470199584961
13,1399,12.099903106689453,
13,1399,,11.297954559326172
14,1499,12.156621932983398,
14,1499,,11.340539932250977
15,1599,12.058055877685547,
15,1599,,11.366238594055176
16,1699,12.62562370300293,
16,1699,,11.323302268981934
17,1799,12.68785572052002,
17,1799,,11.356950759887695
