step,val_loss,epoch,train_loss
99,13.446036338806152,0,
99,,0,11.869195938110352
199,13.097151756286621,1,
199,,1,11.722204208374023
299,14.097536087036133,2,
299,,2,11.660125732421875
399,14.581337928771973,3,
399,,3,11.631424903869629
499,12.98919677734375,4,
499,,4,11.393311500549316
599,12.616917610168457,5,
599,,5,11.341116905212402
699,12.304636001586914,6,
699,,6,11.319035530090332
799,12.197126388549805,7,
799,,7,11.326685905456543
899,12.385987281799316,8,
899,,8,11.285348892211914
999,12.396780014038086,9,
999,,9,11.303382873535156
1099,12.06466293334961,10,
1099,,10,11.308846473693848
1199,12.036676406860352,11,
1199,,11,11.37934684753418
1299,11.968830108642578,12,
1299,,12,11.315638542175293
1399,11.798171997070312,13,
1399,,13,11.354360580444336
1499,11.894137382507324,14,
1499,,14,11.31991958618164
1599,11.926895141601562,15,
1599,,15,11.309684753417969
1699,11.77954387664795,16,
1699,,16,11.335002899169922
1799,12.13873291015625,17,
1799,,17,11.355565071105957
1899,11.878219604492188,18,
1899,,18,11.351166725158691
1999,11.886470794677734,19,
1999,,19,11.308598518371582
2099,12.363292694091797,20,
2099,,20,11.36157512664795
2199,11.790459632873535,21,
2199,,21,11.333518981933594
