epoch,step,val_loss,train_loss
0,99,12.984530448913574,
0,99,,11.493316650390625
1,199,13.255019187927246,
1,199,,10.953692436218262
2,299,12.845746994018555,
2,299,,10.755789756774902
3,399,13.152341842651367,
3,399,,10.743913650512695
4,499,12.360382080078125,
4,499,,10.879111289978027
5,599,12.7421236038208,
5,599,,10.67697525024414
6,699,12.36193561553955,
6,699,,10.699131965637207
7,799,12.53457260131836,
7,799,,10.656289100646973
8,899,12.287221908569336,
8,899,,10.604292869567871
9,999,12.863213539123535,
9,999,,10.645225524902344
10,1099,12.226407051086426,
10,1099,,10.572968482971191
11,1199,12.605411529541016,
11,1199,,10.551534652709961
12,1299,12.922453880310059,
12,1299,,10.527976989746094
13,1399,12.55294418334961,
13,1399,,10.689748764038086
14,1499,12.415324211120605,
14,1499,,10.449748992919922
15,1599,12.805057525634766,
15,1599,,10.565285682678223
