step,val_loss,epoch,train_loss
99,13.446036338806152,0,
99,,0,11.869195938110352
199,13.097151756286621,1,
199,,1,11.722204208374023
299,13.841590881347656,2,
299,,2,11.668421745300293
399,15.144859313964844,3,
399,,3,11.643315315246582
499,13.748078346252441,4,
499,,4,11.388541221618652
599,12.959836959838867,5,
599,,5,11.31199836730957
699,12.389616966247559,6,
699,,6,11.279670715332031
799,12.48656940460205,7,
799,,7,11.317499160766602
899,12.425576210021973,8,
899,,8,11.291645050048828
999,12.018385887145996,9,
999,,9,11.279440879821777
1099,12.450321197509766,10,
1099,,10,11.2913236618042
1199,12.175155639648438,11,
1199,,11,11.28415298461914
1299,12.216641426086426,12,
1299,,12,11.257843017578125
1399,12.314167022705078,13,
1399,,13,11.256294250488281
1499,12.521950721740723,14,
1499,,14,11.245495796203613
