val_loss,epoch,step,train_loss
14.054171562194824,0,99,
,0,99,11.926887512207031
14.787554740905762,1,199,
,1,199,11.639562606811523
14.970867156982422,2,299,
,2,299,11.650508880615234
15.142072677612305,3,399,
,3,399,11.311016082763672
14.77826976776123,4,499,
,4,499,11.336028099060059
13.502317428588867,5,599,
,5,599,11.324236869812012
13.611129760742188,6,699,
,6,699,11.310552597045898
13.167236328125,7,799,
,7,799,11.353253364562988
12.619803428649902,8,899,
,8,899,11.520225524902344
13.296988487243652,9,999,
,9,999,11.413159370422363
13.333404541015625,10,1099,
,10,1099,11.411401748657227
12.602174758911133,11,1199,
,11,1199,11.374772071838379
12.826952934265137,12,1299,
,12,1299,11.363714218139648
12.544159889221191,13,1399,
,13,1399,11.331090927124023
13.20751953125,14,1499,
,14,1499,11.330706596374512
12.673035621643066,15,1599,
,15,1599,11.357943534851074
12.556387901306152,16,1699,
,16,1699,11.352974891662598
14.097835540771484,17,1799,
,17,1799,11.369902610778809
12.749659538269043,18,1899,
,18,1899,11.485616683959961
