epoch,step,val_loss,train_loss
0,99,12.03672981262207,
0,99,,11.819467544555664
1,199,12.448149681091309,
1,199,,11.386146545410156
2,299,11.69715690612793,
2,299,,11.355472564697266
3,399,11.725688934326172,
3,399,,11.238863945007324
4,499,11.442837715148926,
4,499,,11.195439338684082
5,599,11.541646003723145,
5,599,,11.130029678344727
6,699,11.410613059997559,
6,699,,11.057429313659668
7,799,11.629267692565918,
7,799,,11.026442527770996
8,899,11.300301551818848,
8,899,,10.932879447937012
9,999,11.417390823364258,
9,999,,10.902717590332031
10,1099,11.421163558959961,
10,1099,,10.857465744018555
11,1199,11.259246826171875,
11,1199,,10.844151496887207
12,1299,11.426689147949219,
12,1299,,10.738753318786621
13,1399,11.321773529052734,
13,1399,,10.784529685974121
14,1499,11.544737815856934,
14,1499,,10.736991882324219
15,1599,11.478117942810059,
15,1599,,10.768105506896973
16,1699,11.423224449157715,
16,1699,,10.713078498840332
17,1799,11.475653648376465,
17,1799,,10.708870887756348
18,1899,11.536652565002441,
18,1899,,10.683663368225098
19,1999,11.385897636413574,
19,1999,,10.651806831359863
20,2099,11.378408432006836,
20,2099,,10.68057632446289
21,2199,11.182289123535156,
21,2199,,10.675289154052734
22,2299,11.505620956420898,
22,2299,,10.64319133758545
23,2399,11.548083305358887,
23,2399,,10.647680282592773
24,2499,11.497978210449219,
24,2499,,10.629291534423828
25,2599,11.462403297424316,
25,2599,,10.640342712402344
26,2699,11.47661304473877,
26,2699,,10.625263214111328
27,2799,11.571807861328125,
27,2799,,10.626358985900879
28,2899,11.341904640197754,
28,2899,,10.592656135559082
29,2999,11.583847999572754,
29,2999,,10.588371276855469
30,3099,11.401806831359863,
30,3099,,10.565220832824707
31,3199,11.482486724853516,
31,3199,,10.625650405883789
0,99,,12.317296981811523
1,199,,11.997272491455078
