step,val_loss,epoch,train_loss
99,14.554998397827148,0,
99,,0,11.937042236328125
199,14.304228782653809,1,
199,,1,11.574048042297363
299,14.705026626586914,2,
299,,2,11.37795639038086
399,14.685221672058105,3,
399,,3,11.303555488586426
499,13.945164680480957,4,
499,,4,11.38330364227295
599,14.124267578125,5,
599,,5,11.37782096862793
699,14.046723365783691,6,
699,,6,11.331424713134766
799,13.693727493286133,7,
799,,7,11.339289665222168
899,13.066741943359375,8,
899,,8,11.293381690979004
999,13.710693359375,9,
999,,9,11.300795555114746
1099,13.722453117370605,10,
1099,,10,11.286766052246094
1199,14.136839866638184,11,
1199,,11,11.309745788574219
1299,13.300387382507324,12,
1299,,12,11.362166404724121
1399,13.808782577514648,13,
1399,,13,11.315149307250977
