epoch,step,val_loss,train_loss
0,99,13.42170524597168,
0,99,,11.057760238647461
1,199,14.09393310546875,
1,199,,10.338418006896973
2,299,13.514564514160156,
2,299,,10.292227745056152
3,399,12.39576244354248,
3,399,,10.418815612792969
4,499,13.126192092895508,
4,499,,10.393681526184082
5,599,13.085135459899902,
5,599,,10.359553337097168
6,699,13.138312339782715,
6,699,,10.357765197753906
7,799,12.510137557983398,
7,799,,10.336085319519043
8,899,12.399186134338379,
8,899,,10.338122367858887
