step,val_loss,epoch,train_loss
99,14.811321258544922,0,
99,,0,11.87362289428711
199,15.099003791809082,1,
199,,1,11.495410919189453
299,15.11030387878418,2,
299,,2,11.347602844238281
399,14.466032981872559,3,
399,,3,11.297466278076172
499,13.932268142700195,4,
499,,4,11.265944480895996
599,13.112394332885742,5,
599,,5,11.287310600280762
699,12.972484588623047,6,
699,,6,11.285850524902344
799,14.483565330505371,7,
799,,7,11.300887107849121
899,13.540550231933594,8,
899,,8,11.304449081420898
999,14.340629577636719,9,
999,,9,11.297804832458496
1099,13.643133163452148,10,
1099,,10,11.317914962768555
1199,13.665224075317383,11,
1199,,11,11.36012077331543
