epoch,step,val_loss,train_loss
0,99,12.601547241210938,
0,99,,12.235396385192871
1,199,12.62101936340332,
1,199,,11.590435981750488
2,299,13.920367240905762,
2,299,,11.260498046875
3,399,12.48671817779541,
3,399,,11.094847679138184
4,499,13.634568214416504,
4,499,,11.052687644958496
5,599,14.053552627563477,
5,599,,11.029916763305664
6,699,12.912944793701172,
6,699,,11.013278007507324
7,799,13.624051094055176,
7,799,,11.00838851928711
8,899,13.815942764282227,
8,899,,11.068305969238281
