step,val_loss,epoch,train_loss
99,14.036951065063477,0,
99,,0,11.973628997802734
199,13.453469276428223,1,
199,,1,11.761028289794922
299,14.901238441467285,2,
299,,2,11.65404987335205
399,13.730307579040527,3,
399,,3,11.390018463134766
499,13.28007984161377,4,
499,,4,11.32739543914795
599,14.098898887634277,5,
599,,5,11.297575950622559
699,13.786406517028809,6,
699,,6,11.337586402893066
799,13.23829460144043,7,
799,,7,11.278848648071289
899,12.99714469909668,8,
899,,8,11.373926162719727
999,13.590333938598633,9,
999,,9,11.333186149597168
1099,12.790522575378418,10,
1099,,10,11.313668251037598
1199,12.79666805267334,11,
1199,,11,11.331507682800293
1299,12.456448554992676,12,
1299,,12,11.31421184539795
1399,12.38647174835205,13,
1399,,13,11.292370796203613
1499,13.027288436889648,14,
1499,,14,11.2842435836792
1599,13.478404998779297,15,
1599,,15,11.336505889892578
1699,13.132148742675781,16,
1699,,16,11.332348823547363
1799,13.108848571777344,17,
1799,,17,11.289462089538574
1899,13.038857460021973,18,
1899,,18,11.321722030639648
