val_loss,step,epoch,train_loss
13.446036338806152,99,0,
,99,0,11.869195938110352
13.097151756286621,199,1,
,199,1,11.722204208374023
13.656103134155273,299,2,
,299,2,11.655357360839844
14.653762817382812,399,3,
,399,3,11.58941650390625
13.173026084899902,499,4,
,499,4,11.35085678100586
12.990087509155273,599,5,
,599,5,11.30764389038086
12.097779273986816,699,6,
,699,6,11.291781425476074
12.76333999633789,799,7,
,799,7,11.336999893188477
12.599946022033691,899,8,
,899,8,11.259103775024414
12.681023597717285,999,9,
,999,9,11.29238510131836
11.961482048034668,1099,10,
,1099,10,11.314251899719238
11.906858444213867,1199,11,
,1199,11,11.303841590881348
11.924355506896973,1299,12,
,1299,12,11.268219947814941
12.086006164550781,1399,13,
,1399,13,11.313117980957031
12.526822090148926,1499,14,
,1499,14,11.321859359741211
12.19112777709961,1599,15,
,1599,15,11.32546615600586
11.927501678466797,1699,16,
,1699,16,11.288383483886719
