step,val_loss,epoch,train_loss
99,15.130370140075684,0,
99,,0,11.805180549621582
199,15.044843673706055,1,
199,,1,11.455949783325195
299,15.091848373413086,2,
299,,2,11.416036605834961
399,13.57067584991455,3,
399,,3,11.440321922302246
499,14.568831443786621,4,
499,,4,11.323447227478027
599,14.578117370605469,5,
599,,5,11.260523796081543
699,14.439905166625977,6,
699,,6,11.317795753479004
799,14.053094863891602,7,
799,,7,11.350380897521973
899,14.55030632019043,8,
899,,8,11.40060043334961
