step,epoch,val_loss,train_loss
99,0,13.446036338806152,
99,0,,11.869195938110352
199,1,13.097151756286621,
199,1,,11.722204208374023
299,2,14.142361640930176,
299,2,,11.620800971984863
399,3,15.084674835205078,
399,3,,11.571529388427734
499,4,13.124409675598145,
499,4,,11.337055206298828
599,5,13.114632606506348,
599,5,,11.355537414550781
699,6,11.940608978271484,
699,6,,11.377951622009277
799,7,12.140851020812988,
799,7,,11.31582260131836
899,8,11.919463157653809,
899,8,,11.293976783752441
999,9,12.07540512084961,
999,9,,11.340380668640137
1099,10,11.962529182434082,
1099,10,,11.291010856628418
1199,11,11.936403274536133,
1199,11,,11.345686912536621
1299,12,12.078543663024902,
1299,12,,11.267766952514648
1399,13,11.896730422973633,
1399,13,,11.303197860717773
1499,14,11.821069717407227,
1499,14,,11.284261703491211
1599,15,11.939493179321289,
1599,15,,11.311606407165527
1699,16,12.23065185546875,
1699,16,,11.290826797485352
1799,17,11.966453552246094,
1799,17,,11.33519172668457
1899,18,12.231082916259766,
1899,18,,11.353148460388184
1999,19,11.874415397644043,
1999,19,,11.337899208068848
