step,val_loss,epoch,train_loss
99,14.373554229736328,0,
99,,0,11.87150764465332
199,14.31702995300293,1,
199,,1,11.676478385925293
299,13.287400245666504,2,
299,,2,11.459883689880371
399,12.857606887817383,3,
399,,3,11.316336631774902
499,12.744190216064453,4,
499,,4,11.311954498291016
599,12.835752487182617,5,
599,,5,11.297216415405273
699,13.470993995666504,6,
699,,6,11.252049446105957
799,13.080643653869629,7,
799,,7,11.319148063659668
899,13.879744529724121,8,
899,,8,11.30590534210205
999,12.448280334472656,9,
999,,9,11.328356742858887
1099,13.331482887268066,10,
1099,,10,11.363619804382324
1199,13.15356731414795,11,
1199,,11,11.290977478027344
1299,13.555753707885742,12,
1299,,12,11.339778900146484
1399,12.696028709411621,13,
1399,,13,11.234984397888184
1499,13.249876022338867,14,
1499,,14,11.255748748779297
