epoch,step,val_loss,train_loss
0,99,12.449135780334473,
0,99,,11.171320915222168
1,199,12.748602867126465,
1,199,,10.691944122314453
2,299,12.36668586730957,
2,299,,10.400823593139648
3,399,11.876057624816895,
3,399,,10.524619102478027
4,499,11.320411682128906,
4,499,,10.453951835632324
5,599,12.465752601623535,
5,599,,10.140419006347656
6,699,12.395735740661621,
6,699,,10.340971946716309
7,799,13.67614459991455,
7,799,,10.024946212768555
8,899,12.492901802062988,
8,899,,10.072190284729004
9,999,13.674226760864258,
9,999,,9.90298843383789
10,1099,12.874771118164062,
10,1099,,9.792939186096191
11,1199,14.056941032409668,
11,1199,,9.75133991241455
12,1299,12.637076377868652,
12,1299,,9.887216567993164
13,1399,12.870584487915039,
13,1399,,9.883277893066406
14,1499,13.288798332214355,
14,1499,,9.850253105163574
