step,val_loss,epoch,train_loss
99,14.148241996765137,0,
99,,0,11.413091659545898
199,13.294002532958984,1,
199,,1,10.945647239685059
299,12.791909217834473,2,
299,,2,10.862537384033203
399,13.370651245117188,3,
399,,3,10.818938255310059
499,12.56125259399414,4,
499,,4,10.780716896057129
599,12.490034103393555,5,
599,,5,10.796113014221191
699,12.263772964477539,6,
699,,6,10.816195487976074
799,12.270610809326172,7,
799,,7,10.691937446594238
899,12.260927200317383,8,
899,,8,10.66879653930664
999,12.339365005493164,9,
999,,9,10.659826278686523
1099,12.493671417236328,10,
1099,,10,10.663183212280273
1199,13.006560325622559,11,
1199,,11,10.68345832824707
1299,12.837124824523926,12,
1299,,12,10.66929817199707
1399,12.354926109313965,13,
1399,,13,10.578712463378906
