val_loss,epoch,step,train_loss
14.628142356872559,0,99,
,0,99,11.876728057861328
14.537562370300293,1,199,
,1,199,11.527881622314453
13.093976974487305,2,299,
,2,299,11.389190673828125
13.493241310119629,3,399,
,3,399,11.311575889587402
12.964792251586914,4,499,
,4,499,11.278636932373047
12.59338092803955,5,599,
,5,599,11.396032333374023
13.415249824523926,6,699,
,6,699,11.310044288635254
13.236549377441406,7,799,
,7,799,11.313207626342773
12.387699127197266,8,899,
,8,899,11.306478500366211
12.79585075378418,9,999,
,9,999,11.303138732910156
13.29900074005127,10,1099,
,10,1099,11.385826110839844
12.156572341918945,11,1199,
,11,1199,11.403115272521973
12.590591430664062,12,1299,
,12,1299,11.27899169921875
12.660354614257812,13,1399,
,13,1399,11.314319610595703
12.386397361755371,14,1499,
,14,1499,11.298832893371582
13.15591812133789,15,1599,
,15,1599,11.260420799255371
12.312613487243652,16,1699,
,16,1699,11.287637710571289
