val_loss,epoch,step,train_loss
14.103583335876465,0,99,
,0,99,11.953168869018555
15.002043724060059,1,199,
,1,199,11.567968368530273
14.976300239562988,2,299,
,2,299,11.344696998596191
14.552830696105957,3,399,
,3,399,11.312958717346191
14.017230987548828,4,499,
,4,499,11.266514778137207
13.890320777893066,5,599,
,5,599,11.29766845703125
13.88520336151123,6,699,
,6,699,11.307551383972168
14.194457054138184,7,799,
,7,799,11.28547477722168
13.36981201171875,8,899,
,8,899,11.406219482421875
14.505602836608887,9,999,
,9,999,11.275751113891602
14.093070983886719,10,1099,
,10,1099,11.32168197631836
13.956521034240723,11,1199,
,11,1199,11.268620491027832
13.662745475769043,12,1299,
,12,1299,11.302837371826172
12.909139633178711,13,1399,
,13,1399,11.379786491394043
13.4517822265625,14,1499,
,14,1499,11.26095962524414
13.750883102416992,15,1599,
,15,1599,11.275601387023926
12.931143760681152,16,1699,
,16,1699,11.256068229675293
13.521145820617676,17,1799,
,17,1799,11.333879470825195
13.929619789123535,18,1899,
,18,1899,11.312901496887207
