val_loss,epoch,step,train_loss
14.628148078918457,0,99,
,0,99,11.876728057861328
14.267040252685547,1,199,
,1,199,11.55169677734375
13.629053115844727,2,299,
,2,299,11.376230239868164
13.285632133483887,3,399,
,3,399,11.275005340576172
13.264846801757812,4,499,
,4,499,11.336060523986816
12.975122451782227,5,599,
,5,599,11.384685516357422
13.062739372253418,6,699,
,6,699,11.342718124389648
13.099784851074219,7,799,
,7,799,11.268730163574219
13.29250717163086,8,899,
,8,899,11.299205780029297
13.565454483032227,9,999,
,9,999,11.257889747619629
12.511977195739746,10,1099,
,10,1099,11.27003288269043
13.260354042053223,11,1199,
,11,1199,11.367077827453613
13.352970123291016,12,1299,
,12,1299,11.307477951049805
13.456256866455078,13,1399,
,13,1399,11.255497932434082
13.479496002197266,14,1499,
,14,1499,11.262784004211426
13.126663208007812,15,1599,
,15,1599,11.260799407958984
