epoch,step,val_loss,train_loss
0,99,13.900947570800781,
0,99,,11.972926139831543
1,199,14.322391510009766,
1,199,,11.762062072753906
2,299,15.2621488571167,
2,299,,11.563733100891113
3,399,14.343489646911621,
3,399,,11.360198974609375
4,499,14.961183547973633,
4,499,,11.351583480834961
5,599,13.205117225646973,
5,599,,11.351519584655762
6,699,12.607067108154297,
6,699,,11.324590682983398
7,799,12.682612419128418,
7,799,,11.312945365905762
8,899,12.893739700317383,
8,899,,11.339472770690918
9,999,13.878451347351074,
9,999,,11.299572944641113
10,1099,12.776659965515137,
10,1099,,11.282742500305176
11,1199,12.979239463806152,
11,1199,,11.323336601257324
