epoch,step,val_loss,train_loss
0,99,15.080224990844727,
0,99,,11.164633750915527
1,199,15.258865356445312,
1,199,,10.424376487731934
2,299,14.988106727600098,
2,299,,10.278302192687988
3,399,15.229165077209473,
3,399,,10.205513000488281
4,499,14.653529167175293,
4,499,,10.144289016723633
5,599,15.104246139526367,
5,599,,10.225665092468262
6,699,15.330370903015137,
6,699,,10.12077808380127
7,799,14.95745849609375,
7,799,,10.153007507324219
8,899,14.957282066345215,
8,899,,10.010185241699219
9,999,14.521269798278809,
9,999,,10.153176307678223
10,1099,14.95611572265625,
10,1099,,10.073505401611328
11,1199,15.250463485717773,
11,1199,,10.12082290649414
12,1299,14.791692733764648,
12,1299,,10.120911598205566
13,1399,15.111088752746582,
13,1399,,10.143356323242188
14,1499,15.618133544921875,
14,1499,,9.97668170928955
